,MASTER FILE NUMBER,INVESTIGATING AGENCY,LOCAL CODE,COLLISION STATUS CODE,COUNTY NAME,ROADWAY NUMBER,BLOCK/HOUSE #,ROADWAY NAME,ROADWAY SUFFIX,ROADWAY DIRECTION CODE,GPS LATITUDE DECIMAL,GPS LONGITUDE DECIMAL,MILEPOINT DERIVED,COLLISION DATE,COLLISION TIME,INTERSECTION ROADWAY #,INTERSECTION ROADWAY NAME,INTERSECTION ROADWAY SFX,BETWEEN STREET ROADWAY # 1,BETWEEN STREET ROADWAY NAME 1,BETWEEN STREET ROADWAY SFX 1,BETWEEN STREET ROADWAY # 2,BETWEEN STREET ROADWAY NAME 2,BETWEEN STREET ROADWAY SFX 2,UNITS INVOLVED,MOTOR VEHICLES INVOLVED,KILLED,INJURED,WEATHER CODE,WEATHER,ROADWAY CONDITION CODE,ROADWAY CONDITION,HIT & RUN INDICATOR,ROADWAY TYPE CODE,ROADWAY TYPE,DIRECTIONAL ANALYSIS CODE,DIRECTIONAL ANALYSIS,MANNER OF COLLISION CODE,MANNER OF COLLISION,ROADWAY CHARACTER CODE,ROADWAY CHARACTER,LIGHT CONDITION CODE,LIGHT CONDITION,RAMP FROM ROADWAY ID,RAMP TO ROADWAY ID,SECONDARY COLLISION INDICATOR,hour,minute,Date,Latitude,Longitude,geometry,index_right
167642,71620178,LOUISVILLE METRO POLICE DEPT,8015045897,AC,56,,,MARKET,ST   ,W ,38.2597385,-85.7956562,0.506,6/15/2015,1810,,,,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,Y,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,18,10,2015-06-15 18:10:00,38.2597385,-85.7956562,POINT (-85.7956562 38.2597385),0
168335,71623798,LOUISVILLE METRO POLICE DEPT,8015048329,AC,56,KY1065  ,3521.0,OUTER,LOOP ,,38.1362348,-85.6953923,5.562,6/23/2015,2342,,,,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,4.0,DARK-HWY LIGHTED/OFF,,,N,23,42,2015-06-23 23:42:00,38.1362348,-85.6953923,POINT (-85.69539229999999 38.1362348),0
168533,71625361,LOUISVILLE METRO POLICE DEPT,8015049145,AC,56,,,OLD TOWNE,RD   ,,38.1483668,-85.7602492,0.0,6/25/2015,1636,KY1020  ,NATIONAL,TPKE ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,36,2015-06-25 16:36:00,38.1483668,-85.7602492,POINT (-85.7602492 38.1483668),0
168586,71625377,LOUISVILLE METRO POLICE DEPT,8015049183,AC,56,,,SHELBY,ST   ,S ,38.2458395,-85.7393114,0.534,6/26/2015,1744,KY0864  ,GRAY,ST   ,,,,,,,2,1,0,1,6.0,RAINING,05,WET,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,44,2015-06-26 17:44:00,38.2458395,-85.7393114,POINT (-85.73931140000001 38.2458395),0
169126,71627998,LOUISVILLE METRO POLICE DEPT,8015051444,AC,56,,4450.0,3RD,ST   ,S ,38.189757,-85.7648575,0.748,7/4/2015,2151,,,,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,21,51,2015-07-04 21:51:00,38.189757,-85.7648575,POINT (-85.76485750000001 38.189757),0
169233,71629036,LOUISVILLE METRO POLICE DEPT,8015052059,AC,56,,,5TH,ST   ,S ,38.2461655,-85.7600269,3.073,7/6/2015,2339,US0150  ,BROADWAY,,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,23,39,2015-07-06 23:39:00,38.2461655,-85.7600269,POINT (-85.7600269 38.2461655),0
169449,71629537,LOUISVILLE METRO POLICE DEPT,8015052407,AC,56,,7010.0,GREEN MANOR,DR   ,,38.1469035,-85.6288442,0.044,7/8/2015,0125,,,,,,,,,,2,1,0,1,2.0,CLEAR,05,WET,Y,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,01,25,2015-07-08 01:25:00,38.1469035,-85.6288442,POINT (-85.6288442 38.1469035),0
169631,71630998,LOUISVILLE METRO POLICE DEPT,8015053200,AC,56,,,TAYLOR,AVE  ,,38.1983859,-85.7095098,0.533,7/10/2015,1540,,,,,REDWOOD,DR   ,,LEE,AVE  ,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,40,2015-07-10 15:40:00,38.1983859,-85.7095098,POINT (-85.70950980000001 38.1983859),0
169819,71631120,LOUISVILLE METRO POLICE DEPT,8015053786,AC,56,,,ROWAN,ST   ,,38.2621786,-85.7937497,1.389,7/12/2015,1731,,26TH,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,99.0,NONE OF THE ABOVE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,31,2015-07-12 17:31:00,38.2621786,-85.7937497,POINT (-85.79374970000001 38.2621786),0
169915,71632076,LOUISVILLE METRO POLICE DEPT,8015054077,AC,56,KY0061  ,,JACKSON,ST   ,S ,38.2514809,-85.7445084,12.731,7/13/2015,1547,,,,,BALLARD,CT   ,,LIBERTY,ST   ,2,1,0,0,3.0,CLOUDY,05,WET,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,47,2015-07-13 15:47:00,38.2514809,-85.7445084,POINT (-85.7445084 38.2514809),0
170129,71636682,LOUISVILLE METRO POLICE DEPT,8015054635,AC,56,,900.0,28TH,ST   ,S ,38.2442408,-85.7992253,1.17,7/15/2015,1540,,,,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,40,2015-07-15 15:40:00,38.2442408,-85.7992253,POINT (-85.7992253 38.2442408),0
170220,71633089,LOUISVILLE METRO POLICE DEPT,8015055109,AC,56,,,DUTCHMANS,LN   ,,38.2270621,-85.6483161,0.141,7/17/2015,0035,,,,KY2048  ,CANNONS,LN   ,KY2048,DUTCHMANS,LN   ,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,00,35,2015-07-17 00:35:00,38.2270621,-85.6483161,POINT (-85.6483161 38.2270621),0
170633,71635395,LOUISVILLE METRO POLICE DEPT,8015056587,AC,56,KY0061  ,,PRESTON,HWY  ,,38.1061775,-85.6736115,1.609,7/22/2015,2352,,,,,,,,,,4,2,0,2,2.0,CLEAR,01,DRY,Y,7.0,STATE,37.0,COLLISION WITH BICYCLIST,5.0,REAR END,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,23,52,2015-07-22 23:52:00,38.1061775,-85.6736115,POINT (-85.67361150000001 38.1061775),0
170800,71636702,LOUISVILLE METRO POLICE DEPT,8015057005,AC,56,,,OXMOOR,LN   ,,38.2452431,-85.6129162,0.29,7/23/2015,1026,,,,,BULLITT,LN   ,,OXMOOR,AVE  ,2,1,0,1,2.0,CLEAR,01,DRY,N,1.0,COUNTY ROAD,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,2.0,DAYLIGHT,,,N,10,26,2015-07-23 10:26:00,38.2452431,-85.6129162,POINT (-85.6129162 38.2452431),0
171109,71637886,LOUISVILLE METRO POLICE DEPT,8015058199,AC,56,,,GRAND,AVE  ,,38.24065,-85.7941,0.458,7/27/2015,1238,,,,,23RD,ST   ,,25TH,ST   ,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,12,38,2015-07-27 12:38:00,38.24065,-85.7941,POINT (-85.7941 38.24065),0
171251,71638379,LOUISVILLE METRO POLICE DEPT,8015058919,AC,56,US0031W ,8019.0,DIXIE,HWY  ,,38.1370285,-85.8435345,11.114,7/29/2015,1621,,,,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,21,2015-07-29 16:21:00,38.1370285,-85.8435345,POINT (-85.8435345 38.1370285),0
171742,71640843,LOUISVILLE METRO POLICE DEPT,8015060752,AC,56,,,WENZEL,ST   ,N ,38.2541384,-85.7337545,0.0,8/4/2015,1330,US0031E ,MAIN,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,13,30,2015-08-04 13:30:00,38.2541384,-85.7337545,POINT (-85.7337545 38.2541384),0
171904,71641458,LOUISVILLE METRO POLICE DEPT,8015061266,AC,56,US0060A ,,TAYLOR,BLVD ,,38.1985704,-85.7827587,1.619,8/5/2015,2210,,LONGFIELD,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,N,22,10,2015-08-05 22:10:00,38.1985704,-85.7827587,POINT (-85.7827587 38.1985704),0
172241,71643125,LOUISVILLE METRO POLICE DEPT,8015062082,AC,56,US0031W ,,DIXIE,HWY  ,,38.099096,-85.8719319,7.981,8/8/2015,1438,,DIXIE GARDEN,DR   ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,99.0,NONE OF THE ABOVE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,14,38,2015-08-08 14:38:00,38.099096,-85.8719319,POINT (-85.87193190000001 38.099096),0
172733,71646089,LOUISVILLE METRO POLICE DEPT,8015063795,AC,56,KY1020  ,,3RD,ST   ,S ,38.245958,-85.7567122,12.1,8/14/2015,0022,US0150  ,BROADWAY,,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,00,22,2015-08-14 00:22:00,38.245958,-85.7567122,POINT (-85.7567122 38.245958),0
172747,71645968,SHIVELY POLICE DEPARTMENT,0415001749,AC,56,US0060A ,,7TH,ST   ,,38.1951764,-85.8027393,0.348,8/14/2015,2220,,,,,NOBEL,PL   ,,LEROY,AVE  ,3,1,0,3,2.0,CLEAR,01,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,22,20,2015-08-14 22:20:00,38.1951764,-85.8027393,POINT (-85.8027393 38.1951764),0
172873,71646186,LOUISVILLE METRO POLICE DEPT,8015064150,AC,56,,,26TH,ST   ,S ,38.2494709,-85.7949173,0.781,8/15/2015,0029,,BROADWAY,,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,4.0,STRAIGHT & GRADE,3.0,DUSK,,,N,00,29,2015-08-15 00:29:00,38.2494709,-85.7949173,POINT (-85.79491729999999 38.2494709),0
173506,71649506,LOUISVILLE METRO POLICE DEPT,8015066301,AC,56,,,26TH,ST   ,S ,38.2427472,-85.7956583,1.246,8/21/2015,2319,,KENTUCKY,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,23,19,2015-08-21 23:19:00,38.2427472,-85.7956583,POINT (-85.7956583 38.2427472),0
173659,71649580,LOUISVILLE METRO POLICE DEPT,8015066733,AC,56,,,ACME,WAY  ,,38.1300301,-85.6479148,0.339,8/23/2015,1600,,BAY PINE,DR   ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,5.0,STRAIGHT & HILLCREST,2.0,DAYLIGHT,,,N,16,00,2015-08-23 16:00:00,38.1300301,-85.6479148,POINT (-85.6479148 38.1300301),0
173701,71650108,SHIVELY POLICE DEPARTMENT,0415001802,AC,56,,,AMBOY,DR   ,,38.2030592,-85.817984,0.112,8/24/2015,1840,,,,,PEASLEE,RD   ,,MILDRED,DR   ,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,18,40,2015-08-24 18:40:00,38.2030592,-85.817984,POINT (-85.817984 38.2030592),0
173952,71651080,LOUISVILLE METRO POLICE DEPT,8015067572,AC,56,KY2054  ,,ALGONQUIN,PKWY ,,38.2212122,-85.7791369,2.387,8/26/2015,0852,,,,,13TH,ST   ,,13TH,ST   ,2,1,0,0,2.0,CLEAR,01,DRY,Y,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,2.0,DAYLIGHT,,,N,08,52,2015-08-26 08:52:00,38.2212122,-85.7791369,POINT (-85.7791369 38.2212122),0
174155,71652406,LOUISVILLE METRO POLICE DEPT,8015068375,AC,56,,,TAYLOR,AVE  ,,38.199528,-85.7076277,0.66,8/28/2015,1600,,,,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,00,2015-08-28 16:00:00,38.199528,-85.7076277,POINT (-85.7076277 38.199528),0
174213,71652452,LOUISVILLE METRO POLICE DEPT,8015068579,AC,56,,,ZORN,AVE  ,,38.2736925,-85.6961768,1.444,8/29/2015,1003,,MELLWOOD,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,03,2015-08-29 10:03:00,38.2736925,-85.6961768,POINT (-85.6961768 38.2736925),0
174246,71652456,LOUISVILLE METRO POLICE DEPT,8015068597,AC,56,US0042  ,,MELLWOOD,AVE  ,,38.2577341,-85.7194825,0.806,8/29/2015,1436,US0060  ,FRANKFORT,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,14,36,2015-08-29 14:36:00,38.2577341,-85.7194825,POINT (-85.7194825 38.2577341),0
174322,71652549,LOUISVILLE METRO POLICE DEPT,8015069019,AC,56,US0031W ,10300.0,DIXIE,HWY  ,,38.1066243,-85.8673829,8.555,8/30/2015,2210,,,,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,22,10,2015-08-30 22:10:00,38.1066243,-85.8673829,POINT (-85.8673829 38.1066243),0
174534,71655735,LOUISVILLE METRO POLICE DEPT,8015069616,AC,56,,,16TH,ST   ,S ,38.255962,-85.7768824,0.198,9/1/2015,1923,,JEFFERSON,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,N,19,23,2015-09-01 19:23:00,38.255962,-85.7768824,POINT (-85.77688240000001 38.255962),0
174562,71653825,JEFFERSONTOWN POLICE DEPT,A0951773  ,AC,56,,,BILLTOWN,RD   ,,38.1923427,-85.5684709,0.15,9/2/2015,0656,,WATTERSON,TRL  ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,5.0,STRAIGHT & HILLCREST,1.0,DAWN,,,N,06,56,2015-09-02 06:56:00,38.1923427,-85.5684709,POINT (-85.56847089999999 38.1923427),0
174716,71654467,LOUISVILLE METRO POLICE DEPT,8015070327,AC,56,,,JACOB,ST   ,W ,38.2445619,-85.7552695,0.0,9/3/2015,2034,KY1020  ,2ND,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,20,34,2015-09-03 20:34:00,38.2445619,-85.7552695,POINT (-85.7552695 38.2445619),0
174932,71655899,LOUISVILLE METRO POLICE DEPT,8015071087,AC,56,,,BLANTON,LN   ,,38.1573591,-85.8339306,0.004,9/6/2015,1620,,,,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,N,1.0,COUNTY ROAD,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,20,2015-09-06 16:20:00,38.1573591,-85.8339306,POINT (-85.8339306 38.1573591),0
174954,71655945,LOUISVILLE METRO POLICE DEPT,8015071163,AC,56,US0031W ,12305.0,DIXIE,HWY  ,,38.0826844,-85.8813748,6.737,9/6/2015,2050,,,,,,,,,,2,1,0,1,3.0,CLOUDY,05,WET,Y,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,N,20,50,2015-09-06 20:50:00,38.0826844,-85.8813748,POINT (-85.8813748 38.0826844),0
174989,71655974,LOUISVILLE METRO POLICE DEPT,8015071386,AC,56,,,TORRINGTON,RD   ,,38.0924502,-85.8670519,0.083,9/7/2015,00009,,,,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,1.0,COUNTY ROAD,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,00,00,2015-09-07 00:00:00,38.0924502,-85.8670519,POINT (-85.86705190000001 38.0924502),0
174994,71655987,LOUISVILLE METRO POLICE DEPT,8015424071,AC,56,,,RENAISSANCE VALLEY,WAY  ,,38.1056884,-85.8613835,0.299,9/7/2015,2045,,,,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,1.0,COUNTY ROAD,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,20,45,2015-09-07 20:45:00,38.1056884,-85.8613835,POINT (-85.8613835 38.1056884),0
175116,71656746,JEFFERSONTOWN POLICE DEPT,A0952097  ,AC,56,KY1819  ,,RUCKRIEGEL,PKWY ,,38.1897399,-85.5625791,9.306,9/9/2015,0701,,PAVILION,WAY  ,,,,,,,2,1,0,1,6.0,RAINING,05,WET,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,1.0,CURVE & GRADE,5.0,DARK-HWY LIGHTED/ON,,,N,07,01,2015-09-09 07:01:00,38.1897399,-85.5625791,POINT (-85.56257909999999 38.1897399),0
175173,71657071,LOUISVILLE METRO POLICE DEPT,8015072017,AC,56,US0150  ,,DR W J HODGE,ST   ,,38.2596786,-85.7846688,0.765,9/9/2015,1615,,,,US0031W ,MAIN,ST   ,,PIRTLE,ST   ,2,1,0,1,3.0,CLOUDY,01,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,15,2015-09-09 16:15:00,38.2596786,-85.7846688,POINT (-85.78466880000001 38.2596786),0
175462,71664205,LOUISVILLE METRO POLICE DEPT,8015072497,AC,56,,,PEE WEE REESE,RD   ,,38.2462904,-85.6643109,2.138,9/11/2015,0700,KY2048  ,CANNONS,LN   ,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,1.0,DAWN,,,N,07,00,2015-09-11 07:00:00,38.2462904,-85.6643109,POINT (-85.6643109 38.2462904),0
175490,71658560,LOUISVILLE METRO POLICE DEPT,8015072943,AC,56,KY1020  ,,NATIONAL,TPKE ,,38.1450629,-85.7574504,4.992,9/12/2015,1639,,SAM,DR   ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,39,2015-09-12 16:39:00,38.1450629,-85.7574504,POINT (-85.7574504 38.1450629),0
175500,71658528,LOUISVILLE METRO POLICE DEPT,8015072846,AC,56,,,BLUEGRASS,AVE  ,,38.1789216,-85.7713375,1.501,9/12/2015,1011,,SOUTHERN PKY,,,,,,,,2,1,0,0,3.0,CLOUDY,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,11,2015-09-12 10:11:00,38.1789216,-85.7713375,POINT (-85.7713375 38.1789216),0
175816,71661117,LOUISVILLE METRO POLICE DEPT,8015073826,AC,56,,,SENECA PARK,RD   ,,38.2346514,-85.6759546,0.698,9/15/2015,100000,,,,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,N,1.0,COUNTY ROAD,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,00,2015-09-15 10:00:00,38.2346514,-85.6759546,POINT (-85.6759546 38.2346514),0
175899,71661126,LOUISVILLE METRO POLICE DEPT,8015074106,AC,56,US0031E ,,MAIN,ST   ,E ,38.255716,-85.7479036,17.589,9/16/2015,1403,,FLOYD,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,14,03,2015-09-16 14:03:00,38.255716,-85.7479036,POINT (-85.7479036 38.255716),0
176145,71662093,LOUISVILLE METRO POLICE DEPT,8015074879,AC,56,US0031E ,,BARDSTOWN,RD   ,,38.2300128,-85.7035148,14.289,9/18/2015,1811,,,,,,,,,,4,3,0,0,2.0,CLEAR,01,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,18,11,2015-09-18 18:11:00,38.2300128,-85.7035148,POINT (-85.70351479999999 38.2300128),0
176465,71663255,LOUISVILLE METRO POLICE DEPT,8015075975,AC,56,KY2048  ,,DUTCHMANS,LN   ,,38.2254166,-85.6516909,0.413,9/22/2015,1701,,ABIGAIL,DR   ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,01,2015-09-22 17:01:00,38.2254166,-85.6516909,POINT (-85.65169090000001 38.2254166),0
176562,71663795,LOUISVILLE METRO POLICE DEPT,8015076313,AC,56,,,RODMAN,ST   ,,38.2090679,-85.7699435,0.234,9/23/2015,100003,,M,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,00,2015-09-23 10:00:00,38.2090679,-85.7699435,POINT (-85.7699435 38.2090679),0
176581,71663803,LOUISVILLE METRO POLICE DEPT,8015076373,AC,56,,,CLARKS,LN   ,,38.2134932,-85.740582,0.061,9/23/2015,2025,,FLEET,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,20,25,2015-09-23 20:25:00,38.2134932,-85.740582,POINT (-85.740582 38.2134932),0
176877,71665361,LOUISVILLE METRO POLICE DEPT,8015077240,AC,56,,,MUHAMMAD ALI,BLVD ,W ,38.2525914,-85.7707264,1.0,9/26/2015,1700,,12TH,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,01,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,00,2015-09-26 17:00:00,38.2525914,-85.7707264,POINT (-85.7707264 38.2525914),0
177281,71667886,LOUISVILLE METRO POLICE DEPT,8015078693,AC,56,US0031W ,,DIXIE,HWY  ,,38.1575811,-85.8337533,12.553,10/1/2015,0717,,BLANTON,LN   ,,,,,,,2,1,0,1,3.0,CLOUDY,01,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,1.0,DAWN,,,N,07,17,2015-10-01 07:17:00,38.1575811,-85.8337533,POINT (-85.8337533 38.1575811),0
177350,71667943,LOUISVILLE METRO POLICE DEPT,8015078907,AC,56,KY1020  ,900.0,3RD,ST   ,S ,38.2318831,-85.7591943,11.114,10/1/2015,1819,,,,,,,,,,2,1,0,0,2.0,CLEAR,01,DRY,Y,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,18,19,2015-10-01 18:19:00,38.2318831,-85.7591943,POINT (-85.7591943 38.2318831),0
